Sequence_ID,Cluster_ID,SampleGroup,Terrain
IPB24E-194_NODE_709_length_1497_cov_1.358394,Cluster0,IPB24E-194,Mountain
IPB24E-171_NODE_158_length_1992_cov_1.813941,Cluster0,IPB24E-171,Mountain
IPB24A-2_NODE_158_length_1498_cov_2.954778,Cluster0,IPB24A-2,Mountain
IPB24G-209_NODE_100_length_2082_cov_2.123274,Cluster0,IPB24G-209,Mountain
IPB24A-8_NODE_372_length_1038_cov_0.952799,Cluster0,IPB24A-8,Mountain
IPB24E-192_NODE_43_length_3071_cov_41.136889,Cluster0,IPB24E-192,Mountain
IPB24G-202_NODE_119_length_2764_cov_2.399697,Cluster0,IPB24G-202,Mountain
IPB24A-10_NODE_14_length_2858_cov_68.900403,Cluster0,IPB24A-10,Mountain
IPB6D-6_NODE_4951_length_1011_cov_0.576923,Cluster0,IPB6D-6,Mountain
IPB24E-175_NODE_1812_length_1093_cov_3.215321,Cluster0,IPB24E-175,Mountain
IPB24E-174_NODE_13_length_8317_cov_357.568864,Cluster0,IPB24E-174,Hill
IPB24A-13_NODE_58_length_1988_cov_24.835572,Cluster0,IPB24A-13,Mountain
IPB24A-5_NODE_175_length_1231_cov_1.549819,Cluster0,IPB24A-5,Mountain
IPB24A-6_NODE_37_length_1692_cov_7.221725,Cluster0,IPB24A-6,Mountain
IPB24G-199_NODE_67_length_2490_cov_34.932713,Cluster0,IPB24E-199,Mountain
IPB24E-194_NODE_935_length_1341_cov_2.064250,Cluster0,IPB24E-194,Mountain
IPB24G-195_NODE_185_length_1797_cov_8.265868,Cluster0,IPB24E-195,Mountain
IPB24E-195_NODE_539_length_1180_cov_10.569801,Cluster0,IPB24E-195,Mountain
IPB24E-192_NODE_52_length_2896_cov_29.859877,Cluster0,IPB24E-192,Mountain
IPB24G-235_NODE_1724_length_1212_cov_0.863594,Cluster0,IPB24G-235,Mountain
IPB6H-19_NODE_226_length_1259_cov_1.696113,Cluster0,IPB6D-7,Mountain
IPB24E-172_NODE_105_length_2385_cov_2.593446,Cluster0,IPB24E-172,Mountain
IPB24G-202_NODE_289_length_1967_cov_2.840217,Cluster0,IPB24G-202,Mountain
IPB24E-194_NODE_634_length_1557_cov_0.746154,Cluster0,IPB24E-194,Mountain
IPB24E-192_NODE_35_length_3254_cov_66.020467,Cluster0,IPB24E-192,Mountain
IPB24A-13_NODE_356_length_1183_cov_12.509470,Cluster0,IPB24A-13,Mountain
IPB24E-199_NODE_84_length_2354_cov_67.368657,Cluster0,IPB24E-199,Mountain
IPB24E-183_NODE_1377_length_1407_cov_5.601562,Cluster0,IPB24E-183,Mountain
IPB6H-19_NODE_28_length_5064_cov_2.346364,Cluster0,IPB6D-7,Mountain
IPB24E-177_NODE_733_length_1003_cov_23.117580,Cluster0,IPB24E-177,Mountain
IPB24G-209_NODE_414_length_1098_cov_3.470649,Cluster0,IPB24G-209,Mountain
IPB24G-238_NODE_126_length_2353_cov_1.165768,Cluster0,IPB24G-238,Mountain
IPB24G-238_NODE_192_length_1955_cov_1.030635,Cluster0,IPB24G-238,Mountain
IPB6H-18_NODE_15_length_16903_cov_17.960539,Cluster0,IPB6D-6,Mountain
IPB24G-202_NODE_21_length_8684_cov_3.791399,Cluster0,IPB24G-202,Mountain
IPB24E-199_NODE_74_length_2490_cov_30.583580,Cluster0,IPB24E-199,Mountain
IPB24E-194_NODE_886_length_1369_cov_1.529791,Cluster0,IPB24E-194,Mountain
IPB24H-133_NODE_269_length_1033_cov_1.551876,Cluster0,IPB24H-133,Mountain
IPB6H-19_NODE_17_length_7663_cov_1.954485,Cluster0,IPB6D-7,Mountain
IPB24A-11_NODE_239_length_1032_cov_27.927072,Cluster0,IPB24A-11,Mountain
IPB24E-175_NODE_1950_length_1049_cov_7.644252,Cluster0,IPB24E-175,Mountain
IPB24E-177_NODE_318_length_1463_cov_70.173653,Cluster0,IPB24E-177,Mountain
IPB24E-177_NODE_126_length_2082_cov_78.811765,Cluster0,IPB24E-177,Mountain
IPB24A-14_NODE_108_length_1266_cov_56.698859,Cluster0,IPB24A-14,Mountain
IPB24E-182_NODE_11_length_21095_cov_69.052175,Cluster0,IPB24E-182,Mountain
IPB6H-18_NODE_1227_length_1760_cov_33.327618,Cluster0,IPB6D-6,Mountain
IPB24A-5_NODE_274_length_1023_cov_6.098214,Cluster0,IPB24A-5,Mountain
IPB24E-195_NODE_97_length_2320_cov_6.417237,Cluster0,IPB24E-195,Mountain
IPB24E-172_NODE_489_length_1204_cov_1.022284,Cluster0,IPB24E-172,Mountain
IPB6H-18_NODE_59_length_6468_cov_21.483678,Cluster0,IPB6D-6,Mountain
IPB24E-175_NODE_684_length_1961_cov_9.252454,Cluster0,IPB24E-175,Mountain
IPB24A-9_NODE_89_length_1083_cov_8.126569,Cluster0,IPB24A-9,Plain
IPB24E-192_NODE_232_length_1741_cov_24.710657,Cluster0,IPB24E-192,Mountain
IPB24E-196_NODE_2_length_50087_cov_144.278803,Cluster1,IPB24E-196,Mountain
IPB24E-182_NODE_4_length_40516_cov_71.117903,Cluster1,IPB24E-182,Mountain
IPB24E-194_NODE_1032_length_1286_cov_1.811044,Cluster1,IPB24E-194,Mountain
IPB6D-5_NODE_2440_length_1240_cov_1.762803,Cluster1,IPB6D-5,Mountain
IPB24E-179_NODE_329_length_1633_cov_1.507968,Cluster1,IPB24E-179,Mountain
IPB24E-195_NODE_50_length_3201_cov_27.501952,Cluster1,IPB24E-195,Mountain
IPB24E-192_NODE_12_length_5001_cov_35.455068,Cluster1,IPB24E-192,Mountain
IPB24G-202_NODE_26_length_6812_cov_3.984742,Cluster1,IPB24G-202,Mountain
IPB24E-200_NODE_2_length_48412_cov_115.877643,Cluster1,IPB24E-200,Mountain
IPB24G-195_NODE_56_length_3128_cov_36.799067,Cluster1,IPB24E-195,Mountain
IPB24E-198_NODE_2_length_48757_cov_284.407588,Cluster1,IPB24E-198,Mountain
IPB24E-199_NODE_166_length_1853_cov_22.114716,Cluster1,IPB24E-199,Mountain
IPB24E-180_NODE_2_length_91584_cov_106.213958,Cluster1,IPB24E-180,Mountain
IPB24G-204_NODE_393_length_1165_cov_1.411368,Cluster1,IPB24G-204,Mountain
IPB6H-15_NODE_4_length_38258_cov_4.009336,Cluster1,IPB6D-3,Mountain
IPB24A-14_NODE_29_length_1931_cov_1002.272727,Cluster2,IPB24A-14,Mountain
IPB24G-229_NODE_8_length_16971_cov_85.549513,Cluster2,IPB24G-229,Hill
IPB4B-80_NODE_28_length_3016_cov_1.390447,Cluster2,IPB4B-80,Mountain
IPB6D-7_NODE_3_length_8995_cov_2.213915,Cluster2,IPB6D-7,Mountain
IPB24A-6_NODE_92_length_1300_cov_9.497016,Cluster2,IPB24A-6,Mountain
IPB24G-206_NODE_11_length_8098_cov_17.922218,Cluster2,IPB24G-206,Mountain
IPB24G-204_NODE_27_length_5409_cov_38.238167,Cluster2,IPB24G-204,Mountain
IPB24G-218_NODE_44_length_3235_cov_7.085586,Cluster2,IPB24G-218,Mountain
IPB6D-5_NODE_2_length_40942_cov_9.663090,Cluster2,IPB6D-5,Mountain
IPB24G-228_NODE_6_length_17015_cov_217.459143,Cluster2,IPB24G-228,Mountain
IPB24G-240_NODE_14_length_3064_cov_3.459993,Cluster2,IPB24G-240,Mountain
IPB24E-192_NODE_304_length_1597_cov_125.989116,Cluster2,IPB24E-192,Mountain
IPB6D-12_NODE_635_length_1673_cov_19.486417,Cluster2,IPB6D-12,Mountain
IPB24A-4_NODE_53_length_1621_cov_0.607095,Cluster2,IPB24A-4,Mountain
IPB24G-227_NODE_16_length_4728_cov_84.946968,Cluster2,IPB24G-227,Mountain
IPB24G-240_NODE_18_length_2947_cov_1.685106,Cluster2,IPB24G-240,Mountain
IPB24G-218_NODE_16_length_4916_cov_11.657340,Cluster2,IPB24G-218,Mountain
IPB24G-234_NODE_15_length_11203_cov_57.432286,Cluster2,IPB24G-234,Mountain
IPB24A-5_NODE_56_length_1930_cov_17.508042,Cluster2,IPB24A-5,Mountain
IPB24E-182_NODE_5_length_32032_cov_86.833255,Cluster2,IPB24E-182,Mountain
IPB24A-14_NODE_82_length_1375_cov_105.396635,Cluster2,IPB24A-14,Mountain
IPB24G-217_NODE_83_length_4703_cov_4.883960,Cluster2,IPB24G-217,Mountain
IPB24A-17_NODE_213_length_1001_cov_14.072082,Cluster2,IPB24A-17,Mountain
IPB24G-219_NODE_24_length_3260_cov_0.993297,Cluster2,IPB24G-219,Mountain
IPB24E-170_NODE_67_length_2266_cov_78.887331,Cluster2,IPB24E-170,Mountain
IPB24E-174_NODE_34_length_3054_cov_1219.604373,Cluster2,IPB24E-174,Hill
IPB24G-217_NODE_7_length_9654_cov_3.487247,Cluster2,IPB24G-217,Mountain
IPB24E-191_NODE_230_length_1626_cov_0.899933,Cluster2,IPB24E-191,Mountain
IPB24G-231_NODE_1_length_91081_cov_5.289168,Cluster2,IPB24G-231,Mountain
IPB24G-239_NODE_91_length_3423_cov_1.393507,Cluster2,IPB24G-239,Mountain
IPB24E-183_NODE_7_length_21519_cov_32.586668,Cluster2,IPB24E-183,Mountain
IPB24A-6_NODE_102_length_1250_cov_1.686554,Cluster2,IPB24A-6,Mountain
IPB24G-203_NODE_11_length_29085_cov_12.543649,Cluster2,IPB24G-203,Mountain
IPB24G-211_NODE_23_length_5143_cov_125.630582,Cluster2,IPB24G-211,Mountain
IPB24G-211_NODE_5_length_11479_cov_138.823467,Cluster2,IPB24G-211,Mountain
IPB24G-195_NODE_398_length_1375_cov_5.963942,Cluster2,IPB24E-195,Mountain
IPB6D-6_NODE_3_length_19224_cov_6.340053,Cluster2,IPB6D-6,Mountain
IPB24G-219_NODE_141_length_1240_cov_1.090746,Cluster2,IPB24G-219,Mountain
IPB24G-232_NODE_3060_length_1318_cov_0.572628,Cluster2,IPB24G-232,Mountain
IPB24E-199_NODE_42_length_3322_cov_130.994053,Cluster2,IPB24E-199,Mountain
IPB24G-214_NODE_85_length_2295_cov_4.839945,Cluster2,IPB24G-214,Mountain
IPB6D-7_NODE_51_length_3113_cov_2.843603,Cluster2,IPB6D-7,Mountain
IPB24E-195_NODE_391_length_1380_cov_3.270551,Cluster2,IPB24E-195,Mountain
IPB24G-215_NODE_818_length_1461_cov_0.749625,Cluster2,IPB24G-215,Mountain
IPB24E-195_NODE_511_length_1220_cov_10.148216,Cluster2,IPB24E-195,Mountain
IPB24E-193_NODE_298_length_1338_cov_138.844756,Cluster2,IPB24E-193,Mountain
IPB24G-227_NODE_314_length_1548_cov_24.326531,Cluster2,IPB24G-227,Mountain
IPB4B-80_NODE_226_length_1613_cov_1.572005,Cluster2,IPB4B-80,Mountain
IPB24G-230_NODE_19_length_7168_cov_65.745065,Cluster2,IPB24G-230,Mountain
IPB24G-239_NODE_22_length_9352_cov_3.511762,Cluster2,IPB24G-239,Mountain
IPB4B-80_NODE_13_length_4261_cov_1.488873,Cluster2,IPB4B-80,Mountain
IPB6D-6_NODE_13_length_9502_cov_5.543893,Cluster2,IPB6D-6,Mountain
IPB24E-199_NODE_4_length_8468_cov_143.900012,Cluster2,IPB24E-199,Mountain
IPB24G-213_NODE_140_length_5132_cov_4.745455,Cluster2,IPB24G-213,Mountain
IPB24G-212_NODE_1730_length_1351_cov_9.749183,Cluster2,IPB24G-212,Mountain
IPB24E-183_NODE_32_length_10407_cov_30.439300,Cluster2,IPB24E-183,Mountain
IPB24G-206_NODE_127_length_2536_cov_9.400581,Cluster2,IPB24G-206,Mountain
IPB6D-6_NODE_6_length_15998_cov_6.872598,Cluster2,IPB6D-6,Mountain
IPB6D-7_NODE_26_length_4169_cov_2.071747,Cluster2,IPB6D-7,Mountain
IPB24E-177_NODE_272_length_1569_cov_124.311373,Cluster2,IPB24E-177,Mountain
IPB24G-203_NODE_75_length_5237_cov_8.218787,Cluster2,IPB24G-203,Mountain
IPB24G-195_NODE_520_length_1220_cov_14.752973,Cluster2,IPB24E-195,Mountain
IPB24G-223_NODE_5_length_26837_cov_49.349607,Cluster2,IPB24G-223,Mountain
IPB24G-223_NODE_12_length_13814_cov_47.224081,Cluster2,IPB24G-223,Mountain
IPB24G-236_NODE_36_length_8825_cov_6.099793,Cluster2,IPB24G-236,Mountain
IPB24G-218_NODE_84_length_2753_cov_6.371287,Cluster2,IPB24G-218,Mountain
IPB24A-5_NODE_77_length_1733_cov_10.561644,Cluster2,IPB24A-5,Mountain
IPB24E-199_NODE_13_length_5117_cov_226.515431,Cluster2,IPB24E-199,Mountain
IPB24E-194_NODE_10_length_32844_cov_18.099092,Cluster2,IPB24E-194,Mountain
IPB6H-15_NODE_9_length_32655_cov_20.940605,Cluster2,IPB6D-3,Mountain
IPB24E-174_NODE_1_length_66471_cov_1118.820421,Cluster2,IPB24E-174,Hill
IPB24G-214_NODE_38_length_4419_cov_2.039842,Cluster2,IPB24G-214,Mountain
IPB24A-7_NODE_164_length_1290_cov_1.553740,Cluster2,IPB24A-7,Mountain
IPB24G-225_NODE_31_length_3212_cov_8.405835,Cluster2,IPB24G-225,Mountain
IPB24E-199_NODE_615_length_1001_cov_19.061785,Cluster2,IPB24E-199,Mountain
IPB24G-214_NODE_55_length_3159_cov_2.697559,Cluster2,IPB24G-214,Mountain
IPB24G-207_NODE_35_length_3735_cov_183.732816,Cluster2,IPB24G-207,Mountain
IPB6D-12_NODE_882_length_1442_cov_127.737643,Cluster2,IPB6D-12,Mountain
IPB24G-239_NODE_43_length_5869_cov_3.558516,Cluster2,IPB24G-239,Mountain
IPB24G-195_NODE_716_length_1004_cov_10.979475,Cluster2,IPB24E-195,Mountain
IPB24G-195_NODE_2_length_24808_cov_39.664155,Cluster2,IPB24E-195,Mountain
IPB24G-232_NODE_1107_length_2323_cov_0.347905,Cluster2,IPB24G-232,Mountain
IPB24E-192_NODE_8_length_11207_cov_144.889892,Cluster2,IPB24E-192,Mountain
IPB24E-193_NODE_100_length_1993_cov_78.131833,Cluster2,IPB24E-193,Mountain
IPB24G-239_NODE_95_length_3264_cov_1.606312,Cluster2,IPB24G-239,Mountain
IPB6D-6_NODE_16_length_7547_cov_5.954582,Cluster2,IPB6D-6,Mountain
IPB24E-195_NODE_335_length_1460_cov_44.948987,Cluster2,IPB24E-195,Mountain
IPB24G-240_NODE_15_length_3054_cov_4.328323,Cluster2,IPB24G-240,Mountain
IPB24E-191_NODE_27_length_3478_cov_2.567592,Cluster2,IPB24E-191,Mountain
IPB24G-195_NODE_9_length_10426_cov_37.858336,Cluster2,IPB24E-195,Mountain
IPB24G-241_NODE_48_length_2772_cov_18.978072,Cluster2,IPB24G-241,Mountain
IPB24G-206_NODE_23_length_6374_cov_18.591004,Cluster2,IPB24G-206,Mountain
IPB24G-225_NODE_1641_length_1198_cov_3.366947,Cluster2,IPB24G-225,Mountain
IPB24A-6_NODE_75_length_1420_cov_8.327146,Cluster2,IPB24A-6,Mountain
IPB24G-240_NODE_187_length_1575_cov_2.506906,Cluster2,IPB24G-240,Mountain
IPB24E-170_NODE_35_length_3531_cov_361.057873,Cluster2,IPB24E-170,Mountain
IPB24G-225_NODE_1429_length_1249_cov_1.377897,Cluster2,IPB24G-225,Mountain
IPB24G-241_NODE_9_length_8147_cov_56.155237,Cluster2,IPB24G-241,Mountain
IPB24E-193_NODE_8_length_6822_cov_80.702763,Cluster2,IPB24E-193,Mountain
