Sample,Shannon,Bio1,Bio2,Bio3,Bio4,Bio5,Bio6,Bio7,Bio8,Bio9,Bio10,Bio11,Bio12,Bio13,Bio14,Bio15,Bio16,Bio17,Bio18,Bio19,GMR,GR,GLH,HFT,FVC,NDVI,GDP,CHEQ,PSD,DEM
IPB24A-31,7.88514817,1.309244671,-0.962171731,-0.105665663,-0.633531959,0.28105279,1.460115148,-1.155988159,1.21268759,1.224978541,0.656739657,1.20810074,1.000708833,0.445471993,0.13011627,0.018207051,0.611951376,0.078392273,0.795823175,0.511057718,-0.265929339,0.405128451,0.356990085,-0.624546387,0.094730604,1.11149355,-0.257800913,0.012923858,-0.280571971,-0.610868079
IPB24A-32,8.288572784,1.309244671,-0.962171731,-0.105665663,-0.633531959,0.28105279,1.460115148,-1.155988159,1.21268759,1.224978541,0.656739657,1.20810074,1.000708833,0.445471993,0.13011627,0.018207051,0.611951376,0.078392273,0.795823175,0.511057718,-0.265929339,0.405128451,0.356990085,-0.624546387,0.094730604,1.11149355,-0.257800913,0.012923858,-0.280571971,-0.610868079
IPB24A-33,4.664497779,0.897961701,-0.816706601,-0.140350133,-0.551611542,0.077711671,1.069352291,-0.931489873,0.48774152,0.930604807,0.339133646,0.883653185,1.774776252,1.299425096,0.603640672,0.132762145,1.224492981,0.37964913,1.299064958,0.921187777,-0.15630379,-0.722836179,-0.783982243,-1.21414191,-0.469726363,0.638506345,-0.258728184,2.318164221,-0.253639767,-0.232996223
IPB24A-34,5.56385619,0.897961701,-0.816706601,-0.140350133,-0.551611542,0.077711671,1.069352291,-0.931489873,0.48774152,0.930604807,0.339133646,0.883653185,1.774776252,1.299425096,0.603640672,0.132762145,1.224492981,0.37964913,1.299064958,0.921187777,-0.15630379,-0.722836179,-0.783982243,-1.21414191,-0.469726363,0.638506345,-0.258728184,2.318164221,-0.253639767,-0.232996223
IPB24A-35,4.639279277,0.897961701,-0.816706601,-0.140350133,-0.551611542,0.077711671,1.069352291,-0.931489873,0.48774152,0.930604807,0.339133646,0.883653185,1.774776252,1.299425096,0.603640672,0.132762145,1.224492981,0.37964913,1.299064958,0.921187777,-0.15630379,-0.722836179,-0.783982243,-1.21414191,-0.469726363,0.638506345,-0.258728184,2.318164221,-0.253639767,-0.232996223
IPB24A-36,6.88155701,1.031553816,0.177307074,0.078101863,-0.215419043,0.924966334,0.776280148,-0.100848326,-0.083233372,0.837266888,0.770170642,0.784736193,0.608604813,0.129193066,0.414230911,-0.511379621,0.164961557,0.680905986,-0.365064121,1.288146251,-0.083220091,-0.141502914,-0.35212226,0.494909716,0.094730604,-0.541321359,-0.304688581,-0.39543745,-0.366052448,-0.509593566
IPB24A-37,4.412087069,-0.522014615,-0.661543289,-0.408269178,-0.049585134,-0.701762619,-0.176204317,-0.302896604,-1.622941294,-0.128422466,-0.573984189,-0.335003227,1.064932767,0.888262491,1.455984594,-0.262424461,0.738874412,0.906848628,0.02380453,1.676690518,0.136031008,0.823452299,1.470543992,-1.69790342,-0.469726363,0.555480896,-0.312550228,1.999468695,-0.395912066,0.4989896
IPB24A-38,4.413607347,-0.522014615,-0.661543289,-0.408269178,-0.049585134,-0.701762619,-0.176204317,-0.302896604,-1.622941294,-0.128422466,-0.573984189,-0.335003227,1.064932767,0.888262491,1.455984594,-0.262424461,0.738874412,0.906848628,0.02380453,1.676690518,0.136031008,0.823452299,1.470543992,-1.69790342,-0.469726363,0.555480896,-0.312550228,1.999468695,-0.395912066,0.4989896
IPB24A-39,6.003666985,-0.522014615,-0.661543289,-0.408269178,-0.049585134,-0.701762619,-0.176204317,-0.302896604,-1.622941294,-0.128422466,-0.573984189,-0.335003227,1.064932767,0.888262491,1.455984594,-0.262424461,0.738874412,0.906848628,0.02380453,1.676690518,0.136031008,0.823452299,1.470543992,-1.69790342,-0.469726363,0.555480896,-0.312550228,1.999468695,-0.395912066,0.4989896
IPB24A-4,5.709067383,-0.565544791,-1.122183757,-1.039304095,0.679565275,0.043821485,-0.347163067,0.348147347,0.648127506,-0.268429452,0.157643865,-0.647580634,-0.402077101,-1.151736589,1.550689474,-1.621070196,-1.225673437,1.559571817,-1.108489483,1.223388874,-2.129563676,-0.326349657,1.910564605,-0.108301018,-0.469726363,0.561537378,0.00501999,0.558816021,-0.029399887,-0.593786676
IPB24A-40,4.953263142,0.53171006,-0.166960837,-0.486282571,0.453105804,1.094417267,0.238981219,0.505296058,-0.320605138,0.252109198,0.889272258,0.100231231,0.061011268,-0.092202183,0.698345552,-0.406179596,0.004928165,0.480068082,-0.742495459,0.705329851,0.282198406,-0.770726419,0.686221884,0.975418531,0.094730604,-0.135607704,-0.310292524,-0.796621677,-0.366052448,-0.54895883
IPB24A-41,8.385041728,0.79288968,-0.254240124,-0.387314069,0.242126409,1.06052708,0.556476041,0.190998413,-0.134556841,0.50340386,0.951658722,0.393025453,0.412552803,0.192448851,0.793050432,-0.253718984,0.336031735,0.50517282,-0.57093576,1.288146251,0.099489158,-0.346575121,-0.877850612,0.187689363,0.094730604,0.371140665,-0.307671975,-0.055845217,-0.397668514,-0.626388745
IPB24A-42,4.542543824,1.825600023,-1.194916496,-0.16362025,-0.736776297,0.653844842,1.948568719,-1.358036212,1.68101516,1.587560663,1.070761699,1.607724991,2.156739651,1.93198295,-0.153998371,0.772804732,2.085362263,-0.273074059,2.322704495,-0.244445024,-0.22938749,-0.733676332,0.10756086,0.535549031,1.788101505,-0.25155411,10.90775347,-0.726542334,10.22123146,-0.747866136
IPB24A-43,4.680813428,1.683001714,-1.393719161,-0.29531227,-0.72793132,0.48439391,1.899723362,-1.425385563,1.527044367,1.512172286,0.934644789,1.512764754,2.227723999,1.916169004,0.03541139,0.729395281,2.096399049,-0.197759845,2.334141808,-0.136516061,-0.448638588,-0.611158607,0.115907724,0.535549031,1.788101505,0.03166908,4.508655121,-0.73494516,1.831264177,-0.761392527
IPB24A-44,4.889680181,1.204172651,-0.807008767,-0.177872662,-0.463333383,0.48439391,1.289156398,-0.864140971,0.89191485,1.074201571,0.685096893,1.030050296,1.372531611,1.062215901,0.982460193,0.030692903,0.876834232,0.454963344,0.755792578,0.834844607,-0.22938749,-0.782277914,-0.901334883,-0.429040217,-0.469726363,0.890879949,-0.246431762,1.891418112,-0.25656718,-0.480980048
IPB24A-45,5.882643049,1.417319357,-0.816706601,-0.170778162,-0.465818865,0.687735029,1.460115148,-0.886590755,1.116455845,1.207028784,0.889272939,1.17644717,1.308307676,0.998960116,0.982460193,0.017707731,0.838205483,0.480068082,0.715761982,0.748501436,-0.19284564,-0.75983339,-0.974082628,0.92599238,-0.469726363,-0.289333044,-0.207446056,-0.322456271,-0.163475429,-0.620579334
IPB24A-5,5.559733603,-0.63008894,-1.175521293,-1.056533254,0.655453058,-0.057849075,-0.371585745,0.30324778,0.564726916,-0.297148977,0.083914098,-0.675277449,-0.395316686,-1.135922642,1.645394354,-1.65073481,-1.253265401,1.609781293,-1.137082766,1.266560459,-2.129563676,-0.25299194,2.004000046,0.15901016,-0.469726363,1.11149355,-0.060413102,1.363566034,-0.113123915,-0.531270474
IPB24A-6,5.261098725,-0.63008894,-1.175521293,-1.056533254,0.655453058,-0.057849075,-0.371585745,0.30324778,0.564726916,-0.297148977,0.083914098,-0.675277449,-0.395316686,-1.135922642,1.645394354,-1.65073481,-1.253265401,1.609781293,-1.137082766,1.266560459,-2.129563676,-0.25299194,2.004000046,0.15901016,-0.469726363,1.11149355,-0.060413102,1.363566034,-0.113123915,-0.531270474
IPB24A-7,6.673347539,-0.742666363,-1.199765733,-1.07263942,0.650998155,-0.159519634,-0.444853781,0.30324778,0.436418051,-0.365357365,-0.029516547,-0.746497532,-0.378415651,-1.135922642,1.550689474,-1.599679899,-1.220155044,1.559571817,-1.102770826,1.223388874,-2.129563676,-0.404261882,1.855850742,-0.631328435,-0.469726363,1.07033541,0.086176376,1.114718834,0.074230553,-0.456528496
IPB24A-8,7.448901496,-0.742666363,-1.199765733,-1.07263942,0.650998155,-0.159519634,-0.444853781,0.30324778,0.436418051,-0.365357365,-0.029516547,-0.746497532,-0.378415651,-1.135922642,1.550689474,-1.599679899,-1.220155044,1.559571817,-1.102770826,1.223388874,-2.129563676,-0.404261882,1.855850742,-0.631328435,-0.469726363,1.07033541,0.086176376,1.114718834,0.074230553,-0.456528496
IPB24A-9,5.208411152,0.853231107,-1.434449891,-0.693773553,-0.156523003,0.335277089,1.079121362,-0.76985179,1.257595558,0.829368814,0.696440264,0.684236673,0.728940185,0.176634905,0.603640672,-0.386098741,0.217938128,0.550361348,0.387511091,0.41608023,-2.202647375,0.079105409,2.539116282,0.111522676,3.481472405,0.399019412,0.15855997,-0.73494516,0.082193118,-0.722634216
IPB24B-1,6.633580832,1.741542334,-1.456754939,-0.41578298,-0.639501857,0.619954656,1.899723362,-1.335586877,1.674599967,1.494222529,1.065090388,1.500894725,2.004630333,1.362680882,0.508935791,0.535179157,1.632854051,0.078392273,1.853774651,0.122513451,-0.265929339,0.270751424,-0.678282683,1.008152588,0.094730604,-0.731938097,2.011755753,-0.804014797,1.556672784,-0.773011349
IPB24B-10,5.56385619,-0.601569567,-0.133018504,-0.844229738,1.301875564,0.687735029,-1.030998067,1.40328718,0.237538983,-1.22334893,0.588680861,-1.106555152,-0.770519671,-0.946155286,0.224821151,-0.933147422,-0.93871701,0.530277558,-0.851149935,0.230442414,-0.558264137,-0.698834673,-0.795781604,1.32674221,-1.03418333,-1.114881908,-0.119032766,-0.698130512,-0.018861198,-0.770843659
IPB24B-11,7.006119814,-0.601569567,-0.133018504,-0.844229738,1.301875564,0.687735029,-1.030998067,1.40328718,0.237538983,-1.22334893,0.588680861,-1.106555152,-0.770519671,-0.946155286,0.224821151,-0.933147422,-0.93871701,0.530277558,-0.851149935,0.230442414,-0.558264137,-0.698834673,-0.795781604,1.32674221,-1.03418333,-1.114881908,-0.119032766,-0.698130512,-0.018861198,-0.770843659
IPB24B-12,5.435812887,-0.601569567,-0.133018504,-0.844229738,1.301875564,0.687735029,-1.030998067,1.40328718,0.237538983,-1.22334893,0.588680861,-1.106555152,-0.770519671,-0.946155286,0.224821151,-0.933147422,-0.93871701,0.530277558,-0.851149935,0.230442414,-0.558264137,-0.698834673,-0.795781604,1.32674221,-1.03418333,-1.114881908,-0.119032766,-0.698130512,-0.018861198,-0.770843659
IPB24B-13,4.146286371,-0.565544791,-1.122183757,-1.039304095,0.679565275,0.043821485,-0.347163067,0.348147347,0.648127506,-0.268429452,0.157643865,-0.647580634,-0.402077101,-1.151736589,1.550689474,-1.621070196,-1.225673437,1.559571817,-1.108489483,1.223388874,-2.129563676,-0.326349657,1.910564605,-0.108301018,-0.469726363,0.561537378,0.00501999,0.558816021,-0.029399887,-0.593786676
IPB24B-14,4.636564138,1.828601967,-0.060285765,0.278881563,-0.448571227,1.229978013,1.606651219,-0.662093367,1.956879239,1.067021798,1.314637604,1.417804517,0.088052924,0.318960422,-0.248703251,0.832304649,0.595396198,-0.298178797,0.778667205,-0.481888742,0.830326152,-0.738120775,-0.958479657,0.37878551,-1.03418333,-1.75397888,-0.304567633,-0.369621443,-0.381860481,-0.628903266
IPB24B-15,4.221928095,1.789575248,-0.273635327,0.379691956,-0.685020552,0.891076148,1.753187291,-1.021289906,1.655353233,1.16753949,1.048075434,1.528591302,-0.334472959,-0.313597432,-0.722227652,0.463252989,-0.039218978,-0.599435653,0.121021693,-0.740918253,0.830326152,-0.425484532,1.721101644,0.108012048,-1.03418333,-0.894489311,-0.312913073,-0.097495756,-0.391813687,-0.602804269
IPB24B-2,3.664497779,1.741542334,-1.456754939,-0.41578298,-0.639501857,0.619954656,1.899723362,-1.335586877,1.674599967,1.494222529,1.065090388,1.500894725,2.004630333,1.362680882,0.508935791,0.535179157,1.632854051,0.078392273,1.853774651,0.122513451,-0.265929339,0.270751424,-0.678282683,1.008152588,0.094730604,-0.731938097,2.011755753,-0.804014797,1.556672784,-0.773011349
IPB24B-3,4.801307266,1.591438624,-1.844662493,-0.651103177,-0.662025591,0.38272335,1.924146041,-1.515184698,1.501382825,1.440373688,0.911958864,1.417804517,1.480698237,0.951518276,0.13011627,0.495707201,1.230011374,-0.147550369,1.436312717,-0.136516061,-2.056479976,-0.003672155,-0.636601441,0.483388608,0.094730604,0.980294851,0.045819922,-0.73494516,-0.073428187,-0.713356499
IPB24B-5,7.298034371,-0.601569567,-0.133018504,-0.844229738,1.301875564,0.687735029,-1.030998067,1.40328718,0.237538983,-1.22334893,0.588680861,-1.106555152,-0.770519671,-0.946155286,0.224821151,-0.933147422,-0.93871701,0.530277558,-0.851149935,0.230442414,-0.558264137,-0.698834673,-0.795781604,1.32674221,-1.03418333,-1.114881908,-0.119032766,-0.698130512,-0.018861198,-0.770843659
IPB24B-6,4.201841232,-0.613577705,-0.123321193,-0.838749684,1.303789535,0.687735029,-1.030998067,1.40328718,0.23112379,-1.226938817,0.577337899,-1.110511789,-0.787420706,-0.946155286,0.224821151,-0.936151965,-0.949753796,0.50517282,-0.868305904,0.208856621,-0.594805987,-0.675914951,-0.765094685,1.32674221,1.788101505,-1.752310595,-0.116089688,-0.988233866,-0.012420888,-0.771710735
IPB24B-7,6.044954943,-0.601569567,-0.133018504,-0.844229738,1.301875564,0.687735029,-1.030998067,1.40328718,0.237538983,-1.22334893,0.588680861,-1.106555152,-0.770519671,-0.946155286,0.224821151,-0.933147422,-0.93871701,0.530277558,-0.851149935,0.230442414,-0.558264137,-0.696479007,-0.792240411,0.740487466,-1.03418333,-1.114881908,-0.119032766,-0.402006668,-0.018861198,-0.770843659
IPB24B-8,6.864376179,-0.583556819,-0.162112181,-0.860669362,1.304720959,0.721625215,-1.006575388,1.40328718,0.263200525,-1.212579119,0.605695815,-1.094685075,-0.76037905,-0.946155286,0.319526031,-0.937331564,-0.933198617,0.555382296,-0.839712621,0.252028206,-0.558264137,-0.720875199,-0.826170013,1.32674221,1.788101505,-0.315708769,-0.08746523,-0.961647078,0.046712866,-0.772317688
IPB24B-9,5.592759956,-0.601569567,-0.133018504,-0.844229738,1.301875564,0.687735029,-1.030998067,1.40328718,0.237538983,-1.22334893,0.588680861,-1.106555152,-0.770519671,-0.946155286,0.224821151,-0.933147422,-0.93871701,0.530277558,-0.851149935,0.230442414,-0.558264137,-0.698834673,-0.795781604,1.32674221,-1.03418333,-1.114881908,-0.119032766,-0.698130512,-0.018861198,-0.770843659
IPB24C-100,6.162430053,-0.583556819,-0.162112181,-0.860669362,1.304720959,0.721625215,-1.006575388,1.40328718,0.263200525,-1.212579119,0.605695815,-1.094685075,-0.76037905,-0.946155286,0.319526031,-0.937331564,-0.933198617,0.555382296,-0.839712621,0.252028206,-0.558264137,-0.720875199,-0.826170013,1.32674221,1.788101505,-0.315708769,-0.08746523,-0.961647078,0.046712866,-0.772317688
IPB24C-102,7.200500809,-0.61057576,-0.249390887,-0.88535441,1.267884652,0.619954656,-1.006575388,1.335937829,0.205461863,-0.756659013,0.548979982,-1.090728485,-0.773899878,-0.946155286,0.224821151,-0.973543452,-0.955272188,0.530277558,-0.885461874,0.252028206,-0.594805987,-0.599398216,-0.666867508,0.05920799,-1.03418333,0.50713231,-0.121774263,0.109736597,-0.024130543,-0.772404396
IPB24C-103,6.749858621,-0.61057576,-0.249390887,-0.88535441,1.267884652,0.619954656,-1.006575388,1.335937829,0.205461863,-0.756659013,0.548979982,-1.090728485,-0.773899878,-0.946155286,0.224821151,-0.973543452,-0.955272188,0.530277558,-0.885461874,0.252028206,-0.594805987,-0.599398216,-0.666867508,0.05920799,-1.03418333,0.50713231,-0.121774263,0.109736597,-0.024130543,-0.772404396
IPB24C-104,7.253593198,-0.61057576,-0.249390887,-0.88535441,1.267884652,0.619954656,-1.006575388,1.335937829,0.205461863,-0.756659013,0.548979982,-1.090728485,-0.773899878,-0.946155286,0.224821151,-0.973543452,-0.955272188,0.530277558,-0.885461874,0.252028206,-0.594805987,-0.599398216,-0.666867508,0.05920799,-1.03418333,0.50713231,-0.121774263,0.109736597,-0.024130543,-0.772404396
IPB24C-105,6.232624357,-0.61057576,-0.249390887,-0.88535441,1.267884652,0.619954656,-1.006575388,1.335937829,0.205461863,-0.756659013,0.548979982,-1.090728485,-0.773899878,-0.946155286,0.224821151,-0.973543452,-0.955272188,0.530277558,-0.885461874,0.252028206,-0.594805987,-0.599398216,-0.666867508,0.05920799,-1.03418333,0.50713231,-0.121774263,0.109736597,-0.024130543,-0.772404396
IPB24C-106,6.460688108,-0.583556819,-0.162112181,-0.860669362,1.304720959,0.721625215,-1.006575388,1.40328718,0.263200525,-1.212579119,0.605695815,-1.094685075,-0.76037905,-0.946155286,0.319526031,-0.937331564,-0.933198617,0.555382296,-0.839712621,0.252028206,-0.558264137,-0.720875199,-0.826170013,1.32674221,1.788101505,-0.315708769,-0.08746523,-0.961647078,0.046712866,-0.772317688
IPB24C-107,6.227831381,-0.583556819,-0.162112181,-0.860669362,1.304720959,0.721625215,-1.006575388,1.40328718,0.263200525,-1.212579119,0.605695815,-1.094685075,-0.76037905,-0.946155286,0.319526031,-0.937331564,-0.933198617,0.555382296,-0.839712621,0.252028206,-0.558264137,-0.720875199,-0.826170013,1.32674221,1.788101505,-0.315708769,-0.08746523,-0.961647078,0.046712866,-0.772317688
IPB24C-108,6.41197818,-0.583556819,-0.162112181,-0.860669362,1.304720959,0.721625215,-1.006575388,1.40328718,0.263200525,-1.212579119,0.605695815,-1.094685075,-0.76037905,-0.946155286,0.319526031,-0.937331564,-0.933198617,0.555382296,-0.839712621,0.252028206,-0.558264137,-0.720875199,-0.826170013,1.32674221,1.788101505,-0.315708769,-0.08746523,-0.961647078,0.046712866,-0.772317688
IPB24C-109,6.888252502,-0.583556819,-0.162112181,-0.860669362,1.304720959,0.721625215,-1.006575388,1.40328718,0.263200525,-1.212579119,0.605695815,-1.094685075,-0.76037905,-0.946155286,0.319526031,-0.937331564,-0.933198617,0.555382296,-0.839712621,0.252028206,-0.558264137,-0.720875199,-0.826170013,1.32674221,1.788101505,-0.315708769,-0.08746523,-0.961647078,0.046712866,-0.772317688
IPB24C-110,6.549452668,-0.583556819,-0.162112181,-0.860669362,1.304720959,0.721625215,-1.006575388,1.40328718,0.263200525,-1.212579119,0.605695815,-1.094685075,-0.76037905,-0.946155286,0.319526031,-0.937331564,-0.933198617,0.555382296,-0.839712621,0.252028206,-0.558264137,-0.720875199,-0.826170013,1.32674221,1.788101505,-0.315708769,-0.08746523,-0.961647078,0.046712866,-0.772317688
IPB24C-111,6.526717226,-0.583556819,-0.162112181,-0.860669362,1.304720959,0.721625215,-1.006575388,1.40328718,0.263200525,-1.212579119,0.605695815,-1.094685075,-0.76037905,-0.946155286,0.319526031,-0.937331564,-0.933198617,0.555382296,-0.839712621,0.252028206,-0.558264137,-0.720875199,-0.826170013,1.32674221,1.788101505,-0.315708769,-0.08746523,-0.961647078,0.046712866,-0.772317688
IPB24C-112,6.429991864,-0.601569567,-0.133018504,-0.844229738,1.301875564,0.687735029,-1.030998067,1.40328718,0.237538983,-1.22334893,0.588680861,-1.106555152,-0.770519671,-0.946155286,0.224821151,-0.933147422,-0.93871701,0.530277558,-0.851149935,0.230442414,-0.558264137,-0.698834673,-0.795781604,1.32674221,-1.03418333,-1.114881908,-0.119032766,-0.698130512,-0.018861198,-0.770843659
IPB24C-114,6.81198037,-0.601569567,-0.133018504,-0.844229738,1.301875564,0.687735029,-1.030998067,1.40328718,0.237538983,-1.22334893,0.588680861,-1.106555152,-0.770519671,-0.946155286,0.224821151,-0.933147422,-0.93871701,0.530277558,-0.851149935,0.230442414,-0.558264137,-0.698834673,-0.795781604,1.32674221,-1.03418333,-1.114881908,-0.119032766,-0.698130512,-0.018861198,-0.770843659
IPB24C-115,6.447882543,-0.601569567,-0.133018504,-0.844229738,1.301875564,0.687735029,-1.030998067,1.40328718,0.237538983,-1.22334893,0.588680861,-1.106555152,-0.770519671,-0.946155286,0.224821151,-0.933147422,-0.93871701,0.530277558,-0.851149935,0.230442414,-0.558264137,-0.698834673,-0.795781604,1.32674221,-1.03418333,-1.114881908,-0.119032766,-0.698130512,-0.018861198,-0.770843659
IPB24C-117,6.222823676,-0.601569567,-0.133018504,-0.844229738,1.301875564,0.687735029,-1.030998067,1.40328718,0.237538983,-1.22334893,0.588680861,-1.106555152,-0.770519671,-0.946155286,0.224821151,-0.933147422,-0.93871701,0.530277558,-0.851149935,0.230442414,-0.558264137,-0.696479007,-0.792240411,0.740487466,-1.03418333,-1.114881908,-0.119032766,-0.402006668,-0.018861198,-0.770843659
IPB24C-119,6.142664356,-0.625585843,-0.51122933,-0.97867807,1.139009237,0.552174283,-0.884461995,1.178789568,0.994562558,0.374166642,0.463907594,-1.007638159,-0.713056151,-0.693132144,0.603640672,-0.64176078,-0.844904332,0.50517282,-0.713902175,0.705329851,-0.485180438,-0.662132991,0.068937057,-0.015092869,-1.03418333,0.561537378,-0.087787759,-0.394276237,-0.11839326,-0.775352455
IPB24C-120,6.455582945,-0.61657965,-0.356065726,-0.913386008,1.184238724,0.619954656,-0.908884674,1.246138695,1.045885642,0.3562171,0.509279444,-1.023464968,-0.790800913,-0.724760037,0.508935791,-0.593706608,-0.850422725,0.404753868,-0.719620832,0.640572473,-0.558264137,-0.749738241,0.247855864,0.524296936,-1.03418333,-0.535779151,-0.117299172,-0.491331296,-0.15937705,-0.775352455
